Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Spain,7/17/2015,0,0,1,1,0,0,0,0
Senegal,7/17/2015,0,0,1,1,0,0,0,0
Sierra Leone,7/17/2015,4234,287,8688,13209,158,208,3581,3947
Nigeria,7/20/2015,0,1,19,20,0,1,7,8
Liberia,7/20/2015,5636,1879,3151,10666,,,,4806
Senegal,7/20/2015,0,0,1,1,0,0,0,0
Guinea,7/20/2015,12,450,3322,3784,,450,2061,2511
United Kingdom,7/20/2015,0,0,1,1,,,,0
United States of America,7/20/2015,0,0,4,4,0,0,1,1
Liberia,7/20/2015,,1,6,7,,,2,2
Italy,7/20/2015,0,0,1,1,,,,0
Sierra Leone,7/20/2015,4262,287,8692,13241,158,208,3583,3949
Mali,7/20/2015,0,1,7,8,,,,6
Spain,7/20/2015,0,0,1,1,0,0,0,0
Liberia,7/21/2015,,1,6,7,,,2,2
Guinea,7/21/2015,11,450,3322,3783,,450,2062,2512
United States of America,7/21/2015,0,0,4,4,0,0,1,1
Sierra Leone,7/21/2015,4271,287,8692,13250,158,208,3583,3949
United Kingdom,7/21/2015,0,0,1,1,,,,0
Spain,7/21/2015,0,0,1,1,0,0,0,0
Liberia,7/21/2015,5636,1879,3151,10666,,,,4806
Senegal,7/21/2015,0,0,1,1,0,0,0,0
Mali,7/21/2015,0,1,7,8,,,,6
Nigeria,7/21/2015,0,1,19,20,0,1,7,8
Italy,7/21/2015,0,0,1,1,,,,0
Sierra Leone,7/22/2015,4271,287,8692,13250,158,208,3583,3949
Spain,7/22/2015,0,0,1,1,0,0,0,0
Guinea,7/22/2015,11,450,3322,3783,,450,2062,2512
Nigeria,7/22/2015,0,1,19,20,0,1,7,8
Italy,7/22/2015,0,0,1,1,,,,0
Liberia,7/22/2015,,0,6,6,,,2,2
Senegal,7/22/2015,0,0,1,1,0,0,0,0
United States of America,7/22/2015,0,0,4,4,0,0,1,1
Liberia,7/22/2015,5636,1879,3151,10666,,,,4806
Mali,7/22/2015,0,1,7,8,,,,6
United Kingdom,7/22/2015,0,0,1,1,,,,0
United States of America,7/23/2015,0,0,4,4,0,0,1,1
Spain,7/23/2015,0,0,1,1,0,0,0,0
